virus,traitement,masque,bilan,complot,experts,reseaux_sociaux,5g,politique,regions,europe,usa,chine,reste_du_monde,entourage,mots_seuls
covid,vaccin,masque,autopsie,complot,arruda,facebook,5g,gouvernement,québec,france,trump,chine,monde,femme,laboratoire
virus,chloroquine,,dépistage,conspirationniste,nobel,youtube,,président,qc,français,états,chinois,mondial,mari,labo
coronavirus,vaccination,,mort,conspiration,fauci,messenger,,guerre,montréal,italien,amérique,wuhan,world,conjoint,lab
pandémie,remède,,décès,farce,borel,youtu,,trudeau,québécois,italie,usa,china,russie,frère,
corona,aspirine,,test,canular,rancourt,fb,,ministre,toronto,européen,américain,,planète,soeur,
confinement,antidote,,mortalité,fraude,plandemic,tube,,autorités,estrie,europe,,,afrique,fils,
épidémie,traitement,,,complotiste,professeur,twitter,,legault,quebec,suisse,,,global,fille,
maladie,hydroxychloroquine,,,conspirationiste,,réseau,,ministère,lévis,suède,,,australie,oncle,
grippe,antibiotique,,,propagande,,instagram,,loi,laval,européen,,,international,tante,
infection,médicament,,,mensonge,,tweet,,pétition,sherbrooke,,,,inde,mère,
antivirus,,,,femme,,,,politique,gatineau,,,,,père,
propagation,,,,mari,,,,police,ottawa,,,,,ami,
pandemic,,,,conjoint,,,,government,,,,,,blonde,
vague,,,,,,,,fédérale,,,,,,chum,
sars,,,,,,,,fédéral,,,,,,copain,
pandemic,,,,,,,,61,,,,,,voisin,
symptôme,,,,,,,,provincial,,,,,,,
quarantaine,,,,,,,,oms,,,,,,,